Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
ENG.,Boxout Wednesdays 047,7th Feb ,2018,,,,
Rohan Kale,Boxout Wednesdays 048,14th Feb,2018,,,,
Hemant Chotani,Boxout Wednesdays 048,14th Feb,2018,,,,
Nickodemus,Boxout Wednesdays 049,21st Feb,2018,,,,
Aaron DRM,Boxout Wednesdays 049,21st Feb,2018,,,,
Éclair Fifi ,Boxout Wednesdays 050,28th Feb,2018,,,,
Daisho,Boxout Wednesdays 050,28th Feb,2018,,,,
Boxout Soundsystem,Boxout Wednesdays 051,7th March,2018,,,,1 year bday 
Malfnktion,Boxout Wednesdays 052,14th March,2018,,,,
UP7T,Boxout Wednesdays 052,14th March,2018,,,,
Nightwave,Boxout Wednesdays 053,21st March,2018,,,,
Spryk,Boxout Wednesdays 053,21st March,2018,India ,Mumbai,eclectic,
Jose Marquez,Boxout Wednesdays 054,28th March,2018,,,,
mistress,Boxout Wednesdays 054,28th March,2018,,,,
Drum Attic,Boxout Wednesdays 055,4th April,2018,,,,
Abhi Meer,Boxout Wednesdays 055,4th April,2018,,,,
Boxout Soundsystem,Boxout Wednesdays 056,11th April,2018,,,,
Nathan Jonson,Boxout Wednesdays 057,18th April,2018,Canada,Vancouver,electronic,
Spacejams,Boxout Wednesdays 057,18th April,2018,,,,
IJA,Boxout Wednesdays 058,25th April ,2018,,,,
Babloo Baylon,Boxout Wednesdays 058,25th April ,2018,,,,
Paper Queen ,Boxout Wednesdays 059,2nd May,2018,,,,
thegreybox,Boxout Wednesdays 059,2nd May,2018,,,,
Stalvart Jogn ,Boxout Wednesdays 060,9th May,2018,,,,
D80,Boxout Wednesdays 060,9th May,2018,,,,
Stain ,Boxout Wednesdays 061,16th May ,2018,,,,
Npstr,Boxout Wednesdays 061,16th May ,2018,,,,
DJ MoCity,Boxout Wednesdays 061,16th May ,2018,,,,
MC Soopy,Boxout Wednesdays 061,16th May ,2018,,,,
EZ Riser,Boxout Wednesdays 061,16th May ,2018,,,,
Madam X,Boxout Wednesdays 061,16th May ,2018,,,,
 Nathan Fake,Boxout Wednesdays 062,23rd May,2018,,,,
Flava D ,Boxout Wednesdays 063,30th May,2018,,,,
N*hilate,Boxout Wednesdays 063,30th May,2018,,,,
Delhi Sultanate,Boxout Wednesdays 064,6th June,2018,India ,New Delhi ,Reggae,
Flux Vortex,Boxout Wednesdays 064,6th June,2018,,,,
Noah Slee,Boxout Wednesdays 065,13th June,2018,,,,
Jordan Johnson,Boxout Wednesdays 065,13th June,2018,,,,
Dualist Inquiry ,Boxout Wednesdays 066,20th June,2018,India ,,,
Trafficc,Boxout Wednesdays 066,20th June,2018,,,,
Nina Las Vegas,Boxout Wednesdays 067,27th June,2018,,,,
MadStarBase,Boxout Wednesdays 067,27th June,2018,,,,
Aeon Waves ,Boxout Wednesdays 068,4th July,2018,,,,
Rohan Kale,Boxout Wednesdays 068,4th July,2018,,,,
Ox7gen,Boxout Wednesdays 068,4th July,2018,,,,
Girls Night Out ,Boxout Wednesdays 068,4th July,2018,,,,
Quark!,Boxout Wednesdays 068,4th July,2018,,,,
