Artist ,Event Title,Event Date,Year,Country ,City,Genre(s),Notes/Highlights
Uday Kapur,Boxout Wednesdays 030,4th Oct,2017,India ,New Delhi,"Hip-Hop, Future Beats, Trap, R&B",
MC Soopy,Boxout Wednesdays 030,4th Oct,2017,India ,New Delhi,"Reggae, Dancehall, Dub, Roots",
Luna Toke ,Boxout Wednesdays 031,11th Oct,2017,India,Goa,"R&B, Hip-Hop, Future Beats, Dancehall",
AGENT,Boxout Wednesdays 031,11th Oct,2017,India ,Goa,"Drum and Bass, Jungle, Halftime, Neurofunk",
Deep Brown,Boxout Wednesdays 032,25th Oct,2017,India ,Kolkata,"Techno, House, Electro, Breaks",
Rohan Kale,Boxout Wednesdays 032,25th Oct,2017,India ,New Delhi,"Hip-Hop, Trap, Grime, Bass",
Seb Wildblood,Boxout Wednesdays 033,1st Nov,2017,USA,Los Angeles,"House, Disco, Nu Disco, Deep House",
Suchi,Boxout Wednesdays 033,1st Nov,2017,Norway,Oslo,"Dubstep, Grime, Bass, UKG",
Clap!Clap!,Boxout Wednesdays 034,8th Nov ,2017,Italy,Tuscany,"Dubstep, Grime, Global Bass, UKG",
Oceantied ,Boxout Wednesdays 034,8th Nov ,2017,India ,Bengaluru,"Drum and Bass, Jungle, Halftime, Neurofunk",
Kumail ,Boxout Wednesdays 034,8th Nov ,2017,Portugal,Lisbon,"Techno, Electro, Leftfield Bass, Breaks",
Venuq,Boxout Wednesdays 034,8th Nov ,2017,UK,Leeds,"Hip-Hop, Future Beats, R&B, Funk",
Compa ,Boxout Wednesdays 035,15th Nov,2017,UK,Lancashire,"UKG, Breaks, Dubstep, Grime",
Lacuna,Boxout Wednesdays 035,15th Nov,2017,India,Chandigarh,"Hip-Hop, R&B, Afro Electronic, Dancehall",
MadStarBase,Boxout Wednesdays 036,22nd Nov ,2017,India,New Delhi,"Progressive House, Melodic Techno, Deep House, Electronica",
